Version,College Name,Location,Date,No of Participants Attended,No of Sessions,Session Duration,Usage
online,Virtual Labs Workshop,"Sigma Polytechnic, Vadodara",2016-02-29,19,1,03:00,95
online,Virtual Labs Workshop,"K J Somaiya College of Engineering, Mumbai",2016-03-01,35,2,03:00,3000
online,Virtual Labs Workshop,"VVP Engineering College, Rajkot",2016-03-01,64,1,03:00,14
online,Virtual Labs Workshop,"VVP Engineering College, Rajkot",2016-03-01,98,1,03:00,21
online,Virtual Labs Workshop,"Faculty of Technology and Engineering, Maharaja Sayajirao University of Baroda, Vadodara",2016-03-02,15,1,03:00,92
online,Virtual Labs Workshop,"Saffrony Institute of Technology, Gujarat",2016-03-02,15,1,03:00,16
online,Virtual Labs Workshop,"Rajarshi Shahu College of Engineering, Pune",2016-03-03,35,1,03:00,35
online,Virtual Labs Workshop,"PVG College of Engineering and Technology, Pune",2016-03-04,85,1,01:00,507
online,Virtual Labs Workshop,"Priyadarshini Institute of Engineering and Technology, Nagpur",2016-03-14,121,1,01:00,814
online,Virtual Labs Workshop,"G H Raisoni College of Engineering, Nagpur",2016-03-05,560,1,03:00,1066
online,Virtual Labs Workshop,"Priyadarshini Institute of Engineering and Technology, Nagpur",2016-03-08,11,1,03:00,28
online,Virtual Labs Workshop,"Patkar Varde College, Mumbai",2016-03-08,36,1,03:00,151
online,Virtual Labs Workshop,"Bapurao Deshmukh COE Sevagram, Nagpur",2016-03-08,241,1,03:00,2084
online,Virtual Labs Workshop,"PVG College of Engineering and Technology, Pune",2016-03-08,514,1,01:00,5533
online,Virtual Labs Workshop,"Sigma Polytechnic, Vadodara",2016-03-09,26,1,03:00,130
online,Virtual Labs Workshop,"Priyadarshini College of Engineering, Nagpur",2016-03-09,200,1,03:00,225
online,Virtual Labs Workshop,Shri Ramdeobaba College of Engineering and Management,2016-03-09,292,1,03:00,3695
online,Virtual Labs Workshop,Sigma Polytechnic,2016-03-09,20,1,03:00,200
online,Virtual Labs Workshop,Sigma Institute Of Technology And Engineering Polytecnic,2016-12-22,19,1,03:00,38
online,Virtual Labs Workshop,"Sigma Polytechnic, Vadodara",2016-03-10,22,1,03:00,220
online,Virtual Labs Workshop,"Priyadarshini College of Engineering, Nagpur",2016-03-10,120,1,03:00,240
online,Virtual Labs Workshop,"Sigma Polytechnic, Vadodara",2016-03-11,14,1,03:00,140
online,Virtual Labs Workshop,"Priyadarshini Institute of Engineering and Technology, Nagpur",2016-03-14,121,1,01:00,814
online,Virtual Labs Workshop,"Priyadarshini Institute of Engineering and Technology, Nagpur",2016-03-14,14,1,03:00,56
online,Virtual Labs Workshop,"Priyadarshini College of Engineering, Nagpur",2016-03-15,92,1,03:00,372
online,Virtual Labs Workshop,Thakur College of Science and Commerce,2016-12-06,59,1,03:00,540
online,Virtual Labs Workshop,"Priyadarshini Institute of Engineering and Technology, Nagpur",2016-03-16,35,1,03:00,192
online,Virtual Labs Workshop,"Rajendra Mane College of Engineering and Technology, Ratnagiri",2016-03-17,11,1,03:00,34
